"REF_DATE","GEO","DGUID","Age (2)","Highest certificate, diploma or degree (16)","Major field of study - Classification of Instructional Programs (CIP) 2021 (500)","Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A)","Gender (3)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Newfoundland and Labrador","2021A000210","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21301 Mechanical engineers","Total - Gender","","0","units","0","","2.1.1.1.149.1","565","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21310 Electrical and electronics engineers","Total - Gender","","0","units","0","","2.1.1.1.151.1","455","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21311 Computer engineers (except software engineers and designers)","Total - Gender","","0","units","0","","2.1.1.1.152.1","95","","","","0"
"2021","Prince Edward Island","2021A000211","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21301 Mechanical engineers","Total - Gender","","0","units","0","","3.1.1.1.149.1","105","","","","0"
"2021","Prince Edward Island","2021A000211","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21310 Electrical and electronics engineers","Total - Gender","","0","units","0","","3.1.1.1.151.1","60","","","","0"
"2021","Prince Edward Island","2021A000211","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21311 Computer engineers (except software engineers and designers)","Total - Gender","","0","units","0","","3.1.1.1.152.1","55","","","","0"
"2021","Nova Scotia","2021A000212","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21301 Mechanical engineers","Total - Gender","","0","units","0","","4.1.1.1.149.1","870","","","","0"
"2021","Nova Scotia","2021A000212","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21310 Electrical and electronics engineers","Total - Gender","","0","units","0","","4.1.1.1.151.1","960","","","","0"
"2021","Nova Scotia","2021A000212","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21311 Computer engineers (except software engineers and designers)","Total - Gender","","0","units","0","","4.1.1.1.152.1","425","","","","0"
"2021","New Brunswick","2021A000213","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21301 Mechanical engineers","Total - Gender","","0","units","0","","5.1.1.1.149.1","715","","","","0"
"2021","New Brunswick","2021A000213","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21310 Electrical and electronics engineers","Total - Gender","","0","units","0","","5.1.1.1.151.1","610","","","","0"
"2021","New Brunswick","2021A000213","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21311 Computer engineers (except software engineers and designers)","Total - Gender","","0","units","0","","5.1.1.1.152.1","265","","","","0"
"2021","Quebec","2021A000224","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21301 Mechanical engineers","Total - Gender","","0","units","0","","6.1.1.1.149.1","13575","","","","0"
"2021","Quebec","2021A000224","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21310 Electrical and electronics engineers","Total - Gender","","0","units","0","","6.1.1.1.151.1","9365","","","","0"
"2021","Quebec","2021A000224","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21311 Computer engineers (except software engineers and designers)","Total - Gender","","0","units","0","","6.1.1.1.152.1","6230","","","","0"
"2021","Ontario","2021A000235","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21301 Mechanical engineers","Total - Gender","","0","units","0","","7.1.1.1.149.1","25235","","","","0"
"2021","Ontario","2021A000235","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21310 Electrical and electronics engineers","Total - Gender","","0","units","0","","7.1.1.1.151.1","20650","","","","0"
"2021","Ontario","2021A000235","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21311 Computer engineers (except software engineers and designers)","Total - Gender","","0","units","0","","7.1.1.1.152.1","14235","","","","0"
"2021","Manitoba","2021A000246","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21301 Mechanical engineers","Total - Gender","","0","units","0","","8.1.1.1.149.1","1415","","","","0"
"2021","Manitoba","2021A000246","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21310 Electrical and electronics engineers","Total - Gender","","0","units","0","","8.1.1.1.151.1","1085","","","","0"
"2021","Manitoba","2021A000246","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21311 Computer engineers (except software engineers and designers)","Total - Gender","","0","units","0","","8.1.1.1.152.1","425","","","","0"
"2021","Saskatchewan","2021A000247","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21301 Mechanical engineers","Total - Gender","","0","units","0","","9.1.1.1.149.1","1015","","","","0"
"2021","Saskatchewan","2021A000247","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21310 Electrical and electronics engineers","Total - Gender","","0","units","0","","9.1.1.1.151.1","895","","","","0"
"2021","Saskatchewan","2021A000247","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21311 Computer engineers (except software engineers and designers)","Total - Gender","","0","units","0","","9.1.1.1.152.1","255","","","","0"
"2021","Alberta","2021A000248","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21301 Mechanical engineers","Total - Gender","","0","units","0","","10.1.1.1.149.1","8685","","","","0"
"2021","Alberta","2021A000248","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21310 Electrical and electronics engineers","Total - Gender","","0","units","0","","10.1.1.1.151.1","7055","","","","0"
"2021","Alberta","2021A000248","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21311 Computer engineers (except software engineers and designers)","Total - Gender","","0","units","0","","10.1.1.1.152.1","2090","","","","0"
"2021","British Columbia","2021A000259","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21301 Mechanical engineers","Total - Gender","","0","units","0","","11.1.1.1.149.1","6420","","","","0"
"2021","British Columbia","2021A000259","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21310 Electrical and electronics engineers","Total - Gender","","0","units","0","","11.1.1.1.151.1","6710","","","","0"
"2021","British Columbia","2021A000259","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21311 Computer engineers (except software engineers and designers)","Total - Gender","","0","units","0","","11.1.1.1.152.1","2655","","","","0"
"2021","Yukon","2021A000260","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21301 Mechanical engineers","Total - Gender","","0","units","0","","12.1.1.1.149.1","25","","","","0"
"2021","Yukon","2021A000260","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21310 Electrical and electronics engineers","Total - Gender","","0","units","0","","12.1.1.1.151.1","20","","","","0"
"2021","Yukon","2021A000260","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21311 Computer engineers (except software engineers and designers)","Total - Gender","","0","units","0","","12.1.1.1.152.1","10","","","","0"
"2021","Northwest Territories","2021A000261","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21301 Mechanical engineers","Total - Gender","","0","units","0","","13.1.1.1.149.1","60","","","","0"
"2021","Northwest Territories","2021A000261","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21310 Electrical and electronics engineers","Total - Gender","","0","units","0","","13.1.1.1.151.1","25","","","","0"
"2021","Nunavut","2021A000262","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21301 Mechanical engineers","Total - Gender","","0","units","0","","14.1.1.1.149.1","10","","","","0"
"2021","Nunavut","2021A000262","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21311 Computer engineers (except software engineers and designers)","Total - Gender","","0","units","0","","14.1.1.1.152.1","10","","","","0"


